[BC]	[Info]	WUAL	91.5 FM	Tuscaloosa, AL	University of Alabama	Public Radio
[Info]	WUBZ (LPFM)	100.7 LPFM	Tuskegee, AL		Variety
[BC]	[Info]	WUHT	107.7 FM	Birmingham, AL		Urban Contemporary
[BC]	[Info]	WUMP	730 AM	Madison, AL		Sports
[BC]	[Info]	WURL	760 AM	Moody, AL		Gospel Music
[Info]	WURY (LPFM)	97.1 LPFM	Phenix City, AL		Religious
[BC]	[Info]	WVAS	90.7 FM	Montgomery, AL	Alabama State University	Jazz
[Info]	WVMB (LPFM)	107.9 LPFM	Madison, AL		Religious
[Info]	WVNA	1590 AM	Tuscumbia, AL		News/Talk
[BC]	[Info]	WVNA	105.5 FM	Muscle Shoals, AL		Rock
[BC]	[Info]	WVNN	770 AM	Athens, AL		News/Talk
[BC]	[Info]	WVNN	92.5 FM	Trinity, AL		News/Talk
[Info]	WVOB	91.3 FM	Dothan, AL	Bethany Divinity College and Seminary	Gospel Music
[Info]	WVOK	1580 AM	Oxford, AL		Oldies
[BC]	[Info]	WVOK	97.9 FM	Oxford, AL		Hot AC
[BC]	[Info]	WVOV	1480 AM	Bridgeport, AL		Sports
[Info]	WVPL	90.5 FM	Dozier, AL		Religious
[Info]	WVRV	97.5 FM	Pine Level, AL		Christian Contemporary
[Info]	WVSA	1380 AM	Vernon, AL		Country
[Info]	WVSM	1500 AM	Rainsville, AL		Gospel Music
[BC]	[Info]	WVSU	91.1 FM	Birmingham, AL	Samford University	Smooth Jazz
[BC]	[Info]	WVUA	90.7 FM	Tuscaloosa, AL	University of Alabama	Alternative
[BC]	[Info]	WVVL	101.1 FM	Elba, AL		Country
[Info]	WWFA	102.7 FM	Saint Florian, AL		Top-40
[BC]	[Info]	WWFC (LPFM)	99.9 LPFM	Bryant, AL		Religious
[BC]	[Info]	WWFF	93.3 FM	New Market, AL		Country
[Info]	WWGC	1090 AM	Albertville, AL		Spanish
[BC]	[Info]	WWIC	1050 AM	Scottsboro, AL		Country
[BC]	[Info]	WWMG	97.1 FM	Millbrook, AL		Rhythmic Oldies
[Info]	WWPG	104.3 FM	Eutaw, AL		Urban Contemporary
[BC]	[Info]	WWTM	1400 AM	Decatur, AL		Sports
[BC]	[Info]	WWWH	92.7 FM	Haleyville, AL		Hot AC
[Info]	WXAL	1400 AM	Demopolis, AL		Urban Contemporary
[BC]	[Info]	WXFL	96.1 FM	Florence, AL		Country
[BC]	[Info]	WXFX	95.1 FM	Prattville, AL		Rock
[BC]	[Info]	WXJC	850 AM	Birmingham, AL		Gospel Music
[BC]	[Info]	WXJC	92.5 FM	Cordova, AL		Gospel Music
[Info]	WXQW	660 AM	Fairhope, AL		News/Talk
[Info]	WXVI	1600 AM	Montgomery, AL		Gospel Music
[Info]	WYAM	890 AM	Hartselle, AL		Regional Mexican
[BC]	[Info]	WYDE	1260 AM	Birmingham, AL		Talk
[BC]	[Info]	WYDE	101.1 FM	Cullman, AL		Talk
[Info]	WYDK	97.9 FM	Eufaula, AL		Oldies
[BC]	[Info]	WYEA	1290 AM	Sylacauga, AL		Classic Hits
[BC]	[Info]	WYFD	91.7 FM	Decatur, AL		Religious
[Info]	WYLS	670 AM	York, AL		Blues
[Info]	WYTK	93.9 FM	Rogersville, AL		Sports
[Info]	WYVC	102.3 FM	Camden, AL		Gospel Music
[Info]	WYZK (LPFM)	98.3 LPFM	Hartselle, AL		Variety
[Info]	WZAL (LPFM)	99.9 LPFM	Alabaster, AL		Adult Hits
[BC]	[Info]	WZBQ	94.1 FM	Carrollton, AL		Top-40
[Info]	WZCT	1330 AM	Scottsboro, AL		Gospel Music
[Info]	WZDK (LPFM)	98.5 LPFM	Decatur, AL		Variety
[Info]	WZEV	90.5 FM	Lineville, AL		Unknown Format
[Info]	WZEW	92.1 FM	Fairhope, AL		Adult Album Alternative
[Info]	WZGX	1450 AM	Bessemer, AL		Regional Mexican
[BC]	[Info]	WZHT	105.7 FM	Troy, AL		Hip Hop
[BC]	[Info]	WZMG	910 AM	Pepperell, AL		Gospel Music
